upc,name,price,stock
812542005029,"Kernels - Sassy Salt & Vinegar Popcorn Seasoning - 110g",2.77,100
058807500865,"Orville Redenbacher's Gourmet Popping Corn",6.97,100
069941383658,"Large Stacking Snowman",12.5,100
058807489863,"Orville Redenbacher's Gourmet Popping Corn - Flavour Shakers",4.77,100
058807500834,"Orville Redenbacher's® Pop Up Bowl Smart Pop 6 Pack Popcorn",4.77,100
058807500926,"Orville Redenbacher's Gourmet Popping Corn",6.97,100
084114119117,"Kettle Chips Backyard Barbeque Gluten Free Potatoe Chips",3,100
812542005081,"Kernels - Bold Buffalo Wing Popcorn Seasoning - 100g",2.77,100
084114115843,"Kettle Chips Sea Salt and Vinegar Gluten Free Baked Potato Chips",3,100
681131713146,"Great Value Thick'N Chunky Medium Salsa",1.97,100
058807600077,"Orville Redenbacher`s Gourmet Popcorn",3.47,100
829515308681,"Sensible Portions Potato Straws Ketchup",2.97,100
064144150700,"Jiffy Pop Popcorn",2,100
058807500872,"Orville Redenbacher's Gourmet Popping Corn",3,100
829515308582,"Sensible Portions Veggie Straws Original",2.97,100
678523040249,"Glutino Gluten Free Yogurt Covered Pretzels 156g",4.97,100
681131408653,"Extra Butter Flavor Microwave Popcorn 282g",1.47,100
076150215045,"ACT II Microwave Popcorn! - Butter Lovers Flavour",7.97,100
605388347794,"Our Finest Thick Cut Cheddar & Smokey Bacon Rippled Chips",1.77,100
058807488163,"Orville Redenbacher's Gourmet Popping Corn-Original",4.27,100
843571004325,"Popcorn Indiana Gluten Free Non GMO Kettlecorn 220g",3.97,100
058807500841,"Orville Redenbacher's® Pop Up Bowl Light Buttery 6 Pack Popcorn",4.77,100
681131799539,"Great Value™ All Dressed Ripple Potato Chips",1.24,100
843571004721,"Popcorn Indiana Gluten Free Movie Theater Style Popcorn 156g",3.97,100
064900425936,"JUICY FRUIT® DESSERTS™ Lemon Square Multipack",3.94,100
064900427251,"5™ BETA 3 pack",3.94,100
066721013071,"Teddy Grahams - Chocolate Chip 225g",2.27,100
066721002143,"Ritz Bits Sandwich - Peanut Butter 180g",1.97,100
066721023858,"Thinsations Chunks Ahoy! Fudge Drizzled Cookies 132g",1.97,100
056358620186,"DAVID Strawberry Tarts",2.97,100
066721001207,"Chewy Chips Ahoy! 300g",1.97,100
061127189993,"Dora Honey Graham Snacks",2,100
066721010469,"Arrowroot Original 350g",3.67,100
066721018410,"Rice Thins Cheddar 100g",1.97,100
060465004500,"SAVOIA S-Biscuits",1,100
014100084068,"Pepperidge Farm Goldfish Crackers Flavour Blasted Xtreme Cheddar 180 g",2.97,100
897580000137,"Mary's Gluten Free Herb Organic Crackers",5.73,100
064100770041,"Pop-Tarts* Cookies and Creme",1.94,100
059290312072,"McVities Original Digestives",2.97,100
